Species,regime,pterB
Tjacksonii,0,1.502356
Foustaleti,0,2.807464
Fverrucosus,0,3.056195
Kfischeri,0,2.18413
Tellioti,0,1.465018
Thoehnelii,0,2.60826
Tjohnstoni,0,1.430534
Ccalyptratus,1,2.446215
Cchamaeleon,1,2.681772
Cdilepis,1,2.000826
Cgracilis,1,2.42272
Csenegalensis,1,2.299637
Fpardalis,1,2.2738
Tcristatus,1,2.445461
Tmelleri,1,2.260507
Tmontium,1,2.574977
