Specimen #,Species,Clade,CladeDiv,logRL,logJaw,logOrbit,logCor,Regime0,Regime1,Regime2,Regime3,Regime4,PGLSresid
BPI/1/844,Theriognathus,Therocephalia,Therocephalia,2.651604581,2.1430148,1.380211242,1.481643246,0,1,1,0,1,0.124343234
TM254,Hofmeyria,Therocephalia,Therocephalia,2.353267862,1.826398782,1.12515583,1.286680969,0,1,1,0,1,0.392436735
UCMP40467,Mirotenthes,Therocephalia,Therocephalia,2.578628897,2.02286808,,1.26131046,0,1,1,0,1,0.266311612
BPI/1/3155,cf._Ictidostoma,Therocephalia,Therocephalia,2.474708574,1.959041392,1.255272505,1.154849842,0,1,1,0,1,0.276578073
NMQR 385,Ictidosuchoides,Therocephalia,Therocephalia,2.363126653,1.980230691,1.16879202,1.020816887,0,1,1,0,1,0.127088218
NMQR 3835,Moschorhinus,Therocephalia,Therocephalia,3.261608977,2.376576957,1.576571684,1.345471754,0,1,1,0,1,0.31650186
NMQR 3605,Olivierosuchus,Therocephalia,Therocephalia,2.613406252,2.064907027,1.311117843,1.18783082,0,1,1,0,1,0.225880738
SAM PK8797,Choerosaurus,Therocephalia,Therocephalia,2.173244559,1.925208921,1.212187604,0.922907025,0,1,1,0,1,0.035640794
BPI/1/2710,Tetracynodon,Therocephalia,Therocephalia,1.803463944,1.838849091,1.176091259,0.872103804,0,1,1,0,1,-0.17964095
SAM PK11543,Scaloposaurus,Therocephalia,Therocephalia,1.691670318,1.678427322,1.126780577,,0,1,1,0,1,-0.004437922
SAM_PK_K1392,Zorillodontops,Therocephalia,Therocephalia,1.50801769,1.576686805,1.048053173,0.826113693,0,1,1,0,1,-0.006075427
CGP/1:67,Herpetoskylax,Biarmosuchia,Biarmosuchia,2.843035837,2.145359505,1.535850875,,0,1,0,0,0,0.311579782
SAM PK 11112,Leucocephalus,Biarmosuchia,Biarmosuchia,2.582968526,2.041463746,1.470439894,,0,1,0,0,0,0.23738335
PIN2416/1,Proburnetia,Biarmosuchia,Biarmosuchia,2.574397079,2.166128534,,,0,1,0,0,0,0.005784958
SS 13315 13317,Palaeohatteria,Pelycosauria,Pelycosauria,1.697708721,1.831935467,,,0,0,0,0,0,-0.273027609
RS 14752,Pantelosaurus,Pelycosauria,Pelycosauria,2.25561498,2.202384137,,,0,0,0,0,0,-0.377858891
PIN157/1112,Ulemica,Anomodontia,non-bidentalians,2.785939555,2.225743218,,,0,1,1,1,1,0.11067598
TM 4456,Rhachiocephalus,Anomodontia,Bidentalia,3.876623328,2.50242712,,,0,1,0,0,1,0.706368614
